Google.Date,Open,High,Low,Close,Volume
Google,18-Nov-14,537.50,541.94,534.17,535.03,1957664
Google,17-Nov-14,543.58,543.79,534.06,536.51,1721282
Google,14-Nov-14,546.68,546.68,542.15,544.40,1285991
Google,13-Nov-14,549.80,549.80,543.48,545.38,1335719
Google,12-Nov-14,550.39,550.46,545.17,547.31,1126594
Google,11-Nov-14,548.49,551.94,546.30,550.29,964866
Google,10-Nov-14,541.46,549.59,541.02,547.49,1131546
Google,7-Nov-14,546.21,546.21,538.67,541.01,1629259
Google,6-Nov-14,545.50,546.88,540.97,542.04,1329604
Google,5-Nov-14,556.80,556.80,544.05,545.92,2026740
Google,4-Nov-14,553.00,555.50,549.30,554.11,1240761
Google,3-Nov-14,555.50,557.90,553.23,555.22,1378511
Google,31-Oct-14,559.35,559.57,554.75,559.08,2032887
Google,30-Oct-14,548.95,552.80,543.51,550.31,1451667
Google,29-Oct-14,550.00,554.19,546.98,549.33,1767107
Google,28-Oct-14,543.00,548.98,541.62,548.90,1273372
Google,27-Oct-14,537.03,544.41,537.03,540.77,1184973
Google,24-Oct-14,544.36,544.88,535.79,539.78,1972047
Google,23-Oct-14,539.32,547.22,535.85,543.98,2345296
Google,22-Oct-14,529.89,539.80,528.80,532.71,2917183
Google,21-Oct-14,525.19,526.79,519.11,526.54,2332531
Google,20-Oct-14,509.45,521.76,508.10,520.84,2605505
Google,17-Oct-14,527.25,530.98,508.53,511.17,5530674
Google,16-Oct-14,519.00,529.43,515.00,524.51,3698423
Google,15-Oct-14,531.01,532.80,518.30,530.03,3712536
Google,14-Oct-14,538.90,547.19,533.17,537.94,2217230
Google,13-Oct-14,544.99,549.50,533.10,533.21,2578676
Google,10-Oct-14,557.72,565.13,544.05,544.49,3078634
Google,9-Oct-14,571.18,571.49,559.06,560.88,2519693
Google,8-Oct-14,565.57,573.88,557.49,572.50,1987888
Google,7-Oct-14,574.40,575.27,563.74,563.74,1906427
Google,6-Oct-14,578.80,581.00,574.44,577.35,1211320
Google,3-Oct-14,573.05,577.22,572.50,575.28,1138636
Google,2-Oct-14,567.31,571.91,563.32,570.08,1175307
Google,1-Oct-14,576.01,577.58,567.01,568.27,1445027
Google,30-Sep-14,576.93,579.85,572.85,577.36,1618437
Google,29-Sep-14,571.75,578.19,571.17,576.36,1281204
