Microsoft.Date,Open,High,Low,Close,Volume
Microsoft,22-May-14,40.29,40.35,39.85,40.10,20202485
Microsoft,21-May-14,39.80,40.35,39.74,40.35,22399392
Microsoft,20-May-14,39.68,39.94,39.46,39.68,21322341
Microsoft,19-May-14,39.61,39.82,39.46,39.75,24537438
Microsoft,16-May-14,39.67,39.84,39.27,39.83,29868272
Microsoft,15-May-14,40.09,40.40,39.51,39.60,37793243
Microsoft,14-May-14,40.30,40.45,40.05,40.24,18818711
Microsoft,13-May-14,39.92,40.50,39.85,40.42,27004768
Microsoft,12-May-14,39.74,40.02,39.65,39.97,22787185
Microsoft,9-May-14,39.54,39.85,39.37,39.54,29647646
Microsoft,8-May-14,39.34,39.90,38.97,39.64,32123032
Microsoft,7-May-14,39.22,39.51,38.51,39.42,41749497
Microsoft,6-May-14,39.29,39.35,38.95,39.06,27112373
Microsoft,5-May-14,39.52,39.64,39.30,39.43,22460928
Microsoft,2-May-14,40.31,40.34,39.66,39.69,43417914
Microsoft,1-May-14,40.24,40.36,39.95,40.00,28791455
Microsoft,30-Apr-14,40.40,40.50,40.17,40.40,35464148
Microsoft,29-Apr-14,41.10,41.19,40.39,40.51,29637370
Microsoft,28-Apr-14,40.14,41.29,40.09,40.87,50610208
Microsoft,25-Apr-14,40.29,40.68,39.75,39.91,56883812
Microsoft,24-Apr-14,39.74,39.97,39.30,39.86,42381594
Microsoft,23-Apr-14,39.99,39.99,39.47,39.69,24602781
Microsoft,22-Apr-14,39.96,40.14,39.83,39.99,27057271
Microsoft,21-Apr-14,40.13,40.15,39.79,39.94,22222222
Microsoft,17-Apr-14,40.01,40.20,39.51,40.01,36689399
Microsoft,16-Apr-14,40.06,40.42,39.90,40.40,30616304
Microsoft,15-Apr-14,39.34,39.96,39.05,39.75,33978673
Microsoft,14-Apr-14,39.11,39.41,38.90,39.18,32006651
Microsoft,11-Apr-14,39.00,39.79,39.00,39.21,34333298
Microsoft,10-Apr-14,40.44,40.69,39.09,39.36,45960848
Microsoft,9-Apr-14,39.93,40.55,39.88,40.47,27398687
Microsoft,8-Apr-14,39.75,39.93,39.20,39.82,35919609
Microsoft,7-Apr-14,39.96,40.27,39.74,39.80,37559615
Microsoft,4-Apr-14,41.25,41.39,39.64,39.87,51409573
Microsoft,3-Apr-14,41.29,41.29,40.71,41.01,30139567
Microsoft,2-Apr-14,41.44,41.66,41.17,41.35,28666682
Microsoft,1-Apr-14,41.15,41.59,41.07,41.42,32610395
Microsoft,31-Mar-14,40.43,41.50,40.40,40.99,46886284
Microsoft,28-Mar-14,39.79,40.64,39.68,40.30,43472747
Microsoft,27-Mar-14,39.74,39.97,39.34,39.36,35369170
Microsoft,26-Mar-14,40.48,40.70,39.60,39.79,41982966
Microsoft,25-Mar-14,40.66,40.99,39.96,40.34,43193147
Microsoft,24-Mar-14,40.34,40.64,39.86,40.50,46098374
Microsoft,21-Mar-14,40.72,40.94,40.01,40.16,80731942
Microsoft,20-Mar-14,39.25,40.65,39.24,40.33,59269801
Microsoft,19-Mar-14,39.47,39.55,38.91,39.27,35597241
Microsoft,18-Mar-14,38.26,39.90,38.22,39.55,64063866
Microsoft,17-Mar-14,37.90,38.41,37.79,38.05,20479610
Microsoft,14-Mar-14,37.65,38.14,37.51,37.70,27195638
Microsoft,13-Mar-14,38.42,38.45,37.64,37.89,32169650
Microsoft,12-Mar-14,37.80,38.43,37.79,38.27,30496295
Microsoft,11-Mar-14,37.87,38.23,37.72,38.02,25218133
Microsoft,10-Mar-14,37.99,38.01,37.72,37.82,19007850
Microsoft,7-Mar-14,38.28,38.36,37.69,37.90,26596635
Microsoft,6-Mar-14,38.14,38.24,37.89,38.15,23605310
Microsoft,5-Mar-14,38.25,38.27,37.93,38.11,20520432
Microsoft,4-Mar-14,38.20,38.48,38.07,38.41,26868337
Microsoft,3-Mar-14,37.92,38.13,37.50,37.78,29726792
Microsoft,28-Feb-14,37.98,38.46,37.82,38.31,41217028
Microsoft,27-Feb-14,37.45,37.89,37.23,37.86,33919024
Microsoft,26-Feb-14,37.58,37.74,37.19,37.47,41042629
Microsoft,25-Feb-14,37.61,37.85,37.35,37.54,30867657
Microsoft,24-Feb-14,37.69,37.98,37.54,37.69,32143395
Microsoft,21-Feb-14,37.94,38.35,37.86,37.98,38030656
Microsoft,20-Feb-14,37.57,37.87,37.40,37.75,27541038
Microsoft,19-Feb-14,37.22,37.75,37.21,37.51,29794084
Microsoft,18-Feb-14,37.63,37.78,37.41,37.42,32839707
Microsoft,14-Feb-14,37.39,37.78,37.33,37.62,42986738
Microsoft,13-Feb-14,37.33,37.86,37.33,37.61,37647772
Microsoft,12-Feb-14,37.35,37.60,37.30,37.47,27055869
Microsoft,11-Feb-14,36.88,37.26,36.86,37.18,32164989
Microsoft,10-Feb-14,36.63,36.80,36.29,36.80,26782083
Microsoft,7-Feb-14,36.32,36.59,36.01,36.56,33348008
Microsoft,6-Feb-14,35.80,36.25,35.69,36.18,35380994
Microsoft,5-Feb-14,36.29,36.47,35.80,35.82,55841097
Microsoft,4-Feb-14,36.97,37.19,36.25,36.35,55526924
Microsoft,3-Feb-14,37.74,37.98,36.43,36.48,64102391
