Date,Value
28-Mar-13,262.28499999999997
27-Mar-13,257.9
26-Mar-13,257.815
25-Mar-13,256.565
22-Mar-13,255.33
21-Mar-13,257.08000000000004
20-Mar-13,258.225
19-Mar-13,258.85
18-Mar-13,262.14
15-Mar-13,267.32500000000005
14-Mar-13,272.45500000000004
13-Mar-13,273.12
12-Mar-13,272.21500000000003
11-Mar-13,274.21500000000003
08-Mar-13,274.55
07-Mar-13,274.93
06-Mar-13,274.88
05-Mar-13,269.68
04-Mar-13,264.315
01-Mar-13,262.53999999999996
28-Feb-13,260.605
27-Feb-13,260.145
26-Feb-13,263.91499999999996
25-Feb-13,266.78
22-Feb-13,265.87
21-Feb-13,267.65999999999997
20-Feb-13,268.055
19-Feb-13,266.77
15-Feb-13,267.5
14-Feb-13,264.45
13-Feb-13,260.36
12-Feb-13,261.195
11-Feb-13,262.29999999999995
08-Feb-13,262.75
07-Feb-13,264.63
06-Feb-13,263.58000000000004
05-Feb-13,262.39
04-Feb-13,265.855
01-Feb-13,269.985
31-Jan-13,277.02
30-Jan-13,279.175
29-Jan-13,279.565
28-Jan-13,279.39
25-Jan-13,272.185
24-Jan-13,269.97
23-Jan-13,271.095
22-Jan-13,271.225
18-Jan-13,271.16499999999996
17-Jan-13,271.015
16-Jan-13,270.605
15-Jan-13,269.34000000000003
14-Jan-13,266.55
11-Jan-13,266.82000000000005
10-Jan-13,268.355
09-Jan-13,267.62
08-Jan-13,265.02
07-Jan-13,260.275
04-Jan-13,257.42499999999995
03-Jan-13,256.67499999999995
02-Jan-13,249.915
31-Dec-12,244.8
28-Dec-12,247.065
27-Dec-12,252.71499999999997
26-Dec-12,257.225
24-Dec-12,257.56
21-Dec-12,258.09000000000003
20-Dec-12,259.83000000000004
19-Dec-12,257.935
18-Dec-12,252.19
17-Dec-12,249.96
14-Dec-12,250.61
13-Dec-12,251.09
12-Dec-12,249.785
11-Dec-12,250.8
10-Dec-12,253.62
07-Dec-12,253.57
06-Dec-12,252.72
05-Dec-12,251.19
04-Dec-12,251.24
03-Dec-12,251.45999999999998
30-Nov-12,249.215
29-Nov-12,245.25
28-Nov-12,242.83499999999998
27-Nov-12,241.805
26-Nov-12,240.14
23-Nov-12,236.865
21-Nov-12,231.92000000000002
20-Nov-12,229.16
19-Nov-12,224.815
16-Nov-12,221.805
15-Nov-12,224.4
14-Nov-12,225.81
13-Nov-12,225.85500000000002
12-Nov-12,226.425
